roll_number,marks
220103120,83
240104006,76
240104048,94
240104066,28
240104068,98
240108054,99
240121010,60
224156011,31
224156016,45
224159010,85
224159015,24
224159020,85
270101001,56
270101002,81
270101003,52
270101004,25
270101005,21
270101006,32
270101007,34
270101008,69
270101009,89
270101010,75
270101012,4
270101013,47
270101014,29
270101015,87
270101016,35
270101017,61
270101018,99
270101019,59
270101020,37
270101021,46
270101022,34
270101023,69
270101024,67
270101025,52
270101026,53
270101027,27
270101028,68
270101029,35
270101030,23
270101031,71
270101032,30
270101033,27
270101034,47
270101035,42
270101036,34
270101037,11
270101038,79
270101039,69
270101040,4
270101041,85
270101042,36
270101043,65
270101044,45
270101045,91
270101046,66
270101047,12
270101048,75
270101049,4
270101050,40
270101051,60
270101052,49
270101053,68
270101054,42
270101055,40
270101056,4
270101057,93
270101058,48
270101059,22
270101060,84
270101061,29
270101062,66
270101063,23
270101064,17
270101065,22
270101066,99
270101067,75
270101068,84
270101069,30
270101070,54
270101071,62
270101072,94
270101073,77
270101074,83
270101075,3
270101076,82
270101077,95
270101078,11
270101079,73
270101080,90
270101081,52
270101082,10
270101083,96
270101084,30
270101085,24
270101086,19
270101087,82
270101088,11
270101089,66
270101090,78
270101091,42
270101092,67
270101093,54
270101094,72
270101095,96
270101096,40
270101097,68
270101098,84
270101099,5
270101100,50
270101101,6
270101102,52
270101103,17
270101104,32
270101105,34
270101106,68
270101107,81
270101108,72
270101109,3
270101110,70
270101111,45
270101112,73
270101113,22
270101122,25
270123080,41
270123078,74
270101124,33
270101117,49
270123079,84
270101118,4
270123077,9
270123084,5
270101125,27
270101116,47
270123072,72
270101114,55
270123073,54
270123076,96
270123074,26
270101119,12
270123001,46
270123002,12
270123003,90
270123004,91
270123005,12
270123006,48
270123007,10
270123008,99
270123009,76
270123010,82
270123011,39
270123012,88
270123013,83
270123014,43
270123015,25
270123016,95
270123017,95
270123018,59
270123019,6
270123020,21
270123021,28
270123022,59
270123023,11
270123024,92
270123025,8
270123026,90
270123027,12
270123028,63
270123029,61
270123030,49
270123031,27
270123032,92
270123033,44
270123034,21
270123036,24
270123037,85
270123038,40
270101120,44
270123040,62
270123041,97
270123042,7
270123043,17
270123044,54
270123045,10
270123046,15
270123047,11
270123048,74
270123049,77
270123050,7
270123051,95
270123052,45
270123053,89
270123054,44
270123055,98
270123056,94
270123057,64
270123058,5
270123059,68
270123060,76
270101123,89
270123062,2
270101126,73
270101115,54
270123065,42
270123066,57
270123067,79
270123068,69
270123069,59
270123070,49
270123071,89
270123081,91
270101121,75
270123083,23
270123075,38
270123082,42
