roll_number,letter_grade
220101091,DD
220101123,BC
270101001,AS
270101002,CD
270101003,CC
270101004,BC
270101005,FP
270101006,DD
270101007,AB
270101008,CD
270101009,FP
270101010,AB
270101012,CC
270101013,FP
270101014,FP
270101015,AB
270101016,AB
270101017,AS
270101018,FP
270101019,BB
270101020,CD
270101021,AS
270101022,BC
270101023,FP
270101024,BB
270101025,FP
270101026,AS
270101027,BB
270101028,CC
270101029,BC
270101030,CC
270101031,CD
270101032,BB
270101033,FP
270101034,DD
270101035,CC
270101036,FP
270101037,AB
270101038,AB
270101039,DD
270101040,AS
270101041,BB
270101042,FP
270101043,BB
270101044,CC
270101045,FP
270101046,BC
270101047,AB
270101048,FP
270101049,FP
270101050,BC
270101051,CD
270101052,BB
270101053,AB
270101054,CD
270101055,CD
270101056,CD
270101057,CD
270101058,CC
270101059,CC
270101060,DD
270101061,BB
270101062,FP
270101063,CC
270101064,BC
270101065,CD
270101066,FP
270101067,FP
270101068,FP
270101069,CD
270101070,BB
270101071,AA
270101072,FP
270101073,CC
270101074,FP
270101075,CC
270101076,DD
270101077,FP
270101078,BB
270101079,BC
270101080,CD
270101081,BB
270101082,BC
270101083,FP
270101084,AS
270101085,BB
270101086,FP
270101087,DD
270101088,FP
270101089,CD
270101090,FP
270101091,FP
270101092,FP
270101093,FP
270101094,AS
270101095,BB
270101096,BC
270101097,DD
270101098,FP
270101099,FP
270101100,CD
270101101,AA
270101102,CD
270101103,BB
270101104,AB
270101105,AA
270101106,BB
270101107,CC
270101108,AB
270101109,FP
270101110,CD
270101111,AB
270101112,FP
270101113,BB
270101114,CC
270101115,BC
270101116,AA
270101117,FP
270101118,CC
270101119,AB
270101120,FP
270101121,CC
270101122,FP
270101123,AB
270101124,FP
270101125,DD
270101126,FP
270123001,CD
270123002,FP
270123003,DD
270123004,DD
270123005,CD
270123006,FP
270123007,CC
270123008,BC
270123009,FP
270123010,DD
270123011,AB
270123012,CC
270123013,AB
270123014,DD
270123015,BB
270123016,BB
270123017,BC
270123018,BC
270123019,AB
270123020,BB
270123021,CD
270123022,CC
270123023,CD
270123024,AS
270123025,AA
270123026,CC
270123027,BB
270123028,DD
270123029,CD
270123030,CD
270123031,BB
270123032,CD
270123033,AS
270123034,AS
270123036,AS
270123037,FP
270123038,CD
270123040,BB
270123041,FP
270123042,DD
270123043,CC
270123044,BC
270123045,AB
270123046,CC
270123047,BB
270123048,CD
270123049,FP
270123050,DD
270123051,CD
270123052,BB
270123053,AA
270123054,BC
270123055,BC
270123056,CD
270123057,FP
270123058,BB
270123059,AA
270123060,AS
270123062,BB
270123065,BC
270123066,FP
270123067,AB
270123068,FP
270123069,AA
270123070,AA
270123071,FP
270123072,CC
270123073,BC
270123074,CD
270123075,DD
270123076,DD
270123077,AB
270123078,DD
270123079,AA
270123080,FP
270123081,BB
270123082,CD
270123083,AB
270123084,FP
